id,merchant_id,address,name,city,rating,fave_paycnt
2776,21699,"Jl. Raya Cipanas No.219, Sindanglaya, Cipanas, Kabupaten Cianjur, Jawa Barat 43253",Zuri Resort & Convention Cipanas,jakarta,0,0
2777,13074,"Mal Metropolitan, Lantai 3 Jl. A. Yani Pekayon Jaya No. 37, Kali Malang, Bekasi 17148",A&W,jakarta,0,0
2778,13072,"Kota Harapan Indah Komplek Kavling Kuliner No27 Jl Harapan Indah Jaya, Medan Satria",A&W,jakarta,0,0
2779,13065,"Giant Pamulang Square, Lantai Dasar Blok A-01 No.1",A&W,jakarta,0,0
2780,13041,"Perhimpunan Marga Huang, Lantai Dasar Jl. Mangga Besar No138 RT 002/001",A&W,jakarta,0,0
2781,17464,"Jl. Chairil Anwar No.27-36, Margahayu, East Bekasi, Bekasi City, West Java 17113",A&W,jakarta,0,0
2782,17458,"Pulo Gadung Trade Center, Jalan Raya Bekasi No.3, RW.3, Rw. Terate, Cakung, Kota Jakarta Timur, Jawa Timur 13920",A&W,jakarta,0,0
2783,17430,"Gandaria City, Lantai Lower Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",Cup Bop,jakarta,0,0
2784,210,"Pantai Indah Kapuk Ruko Elang Laut , Blok M3 No. 5 - 6, Jakarta Utara",Zeus MMA,jakarta,4.6,0
2785,740,"Ruko Cordoba, Blok E No. 5, Bukit Golf Mediterania Jl. Marina Indah Raya, Pantai Indah Kapuk Jakarta Utara",D&K Dessert Cafe,jakarta,0,0
2786,13079,"Pasar Segar Cinere, Ruko Blok RA No. 1 & 2 Jl. Raya Cinere No. 145, Cinere, Depok",A&W,jakarta,0,0
2787,13077,"Mal Cinere, Lantai 1 Unit NW.E Jl. Raya Cinere No. 1, Pangkalan Jati, Limo, Depok 16513",A&W,jakarta,0,0
2788,13075,"Ruko cikarang central city blok F no 19,20 & 21 Jl.Raya cikarang cibarusah km 10 no.88 kp.kandang roda, rt 012/rw 006 kel ciantra kec cikarang selatan, Bekasi, JABAR",A&W,jakarta,0,0
2789,13092,"Tamini Square, Lantai 2 Blok SB - 5 & Lower Ground Blok LS-2 , Jl. Taman Mini Raya No. 1, Jakarta Timur 13560",A&W,jakarta,0,0
2790,13089,"Emporium Pluit Mall, Lantai 4, Unit 15 Jl. Pluit Selatan Raya, Jakarta Utara 14440",A&W,jakarta,0,0
2791,13087,"Komp. Tomang Tol Raya Blok I No. 24 - 25, Jl. Kedoya Raya, Kedoya, Jakarta Barat 11520",A&W,jakarta,0,0
2792,13090,"Mal Artha Gading Ground Floor Blok B 8 No. 1&2 Jl. Boulevard Artha Gading, Jakarta Utara 14240",A&W,jakarta,0,0
2793,13097,"Mal Kelapa Gading, Jl.Bulevar Kelapa Gading, Kelapa Gading Permai, Jakarta Utara 14240",A&W,jakarta,0,0
2794,13094,"Depok Town Square, Ruko GE 1 No. 6, Kios GS-1 Jl. Margonda Raya, Depok 16424",A&W,jakarta,0,0
2795,13080,"Giant Cibinong Square, Lantai Dasar Jl. Raya Cibinong Km. 44, Kel. Pakarsari, Kec. Cibinong, Bogor 16915",A&W,jakarta,0,0
2796,13048,"Carrefour MT. Haryono, Lantai Dasar",A&W,jakarta,0,0
2797,13045,"Pusat Grosir Pasar Pagi Mangga Dua, Lt. 5 Blok AR 02",A&W,jakarta,0,0
2798,13071,"Ruko City Walk Blok 8 No. 1-2 & Blok 10 No. 1-2 Jl. Alternatif Cibubur - Cileungsi Km 4, Bekasi 17435",A&W,jakarta,0,0
2799,13037,"Mal Ciputra, Lower Ground Floor, Jl. Let Jend S. Parman. ",A&W,jakarta,0,0
2800,13082,"Bogor Trade Mall, Upper Ground Floor Blok A06 No. 11 Jl. Ir. H. Djuanda No 68",A&W,jakarta,0,0
2801,15557,"Jl. Pintu Satu Taman Mini, Green Terrace Taman Mini Blok B No. 9, Bambu Apus, Cipayung, Ceger, Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890",A&W,jakarta,0,0
